PUnitNumber	PUnitType	OwnerName(s)	LotArea	LotAreaUnits	NumStories	NumUnits	Tract	LotNumber	TaxAmount	TaxRateCodeArea	TaxYear	TotalAssessedValue	AssessedYear	AnnivRecordingMonth	AssessedImprovementValue	AssessedImprovePercent	ASSESSEDLandValue
NA	#	1545 W Macarthur Llc	1.79	AC	1	2	1083	1	56670.98	15-052	2017	4477252	2016	12	1365511	0.3049886404	3111741
NA	#	1561 W Mac Arthur Llc	1.51	AC	1	2	1083	1	29125.4	15-052	2017	2102034	2016	5	934810	0.444716879	1167224
NA	#	1690 Scenic Ave Llc	1.5	AC	1	0			70568.92	15-008	2017	5843971	2016	12	1781550	0.3048526422	4062421
O105	#	3505 Cadillac 1 Llc	5125	SF		0			12077.26	15-008	2017	870053	2016	3	445635	0.5121929354	424418
M101	#	3505 Cadillac Ave Llc	2475	SF	2	0			10532.16	15-008	2017	828444	2016	5	626409	0.7561271492	202035
M102	#	3505 Cadillac Ave Llc	2208	SF	2	0			9655.96	15-008	2017	759407	2016	5	536052	0.7058823529	223355
M103	#	3505 Cadillac Ave Llc	2215	SF	2	0			9351.88	15-008	2017	734898	2016	5	551138	0.749951694	183760
M104	#	3505 Cadillac Ave Llc	2354	SF	2	0			10367.8	15-008	2017	816017	2016	5	618043	0.7573898583	197974
K1	#	3505 Cadillac Building K Llc	6005	SF	1	0			12889.28	15-008	2017	1045707	2016	10	624378	0.5970869469	421329
K2	#	3505 Cadillac Building K Llc	5535	SF	1	0			12124	15-008	2017	984792	2016	10	588845	0.5979384479	395947
